SHITOMASI_BRISK, SHITOMASI_BRIEF, SHITOMASI_ORB, SHITOMASI_FREAK, FAST_BRISK, FAST_BRIEF, FAST_ORB, FAST_FREAK, BRISK_BRISK, BRISK_BRIEF, BRISK_ORB, BRISK_FREAK, ORB_BRISK, ORB_BRIEF, ORB_ORB, ORB_FREAK, AKAZE_BRISK, AKAZE_BRIEF, AKAZE_ORB, AKAZE_FREAK, 
13.3689, 13.7746, 13.603, 13.7616, 12.551, 11.6697, 12.5425, 12.9991, 12.8659, 10.3095, 11.7327, 11.3031, 11.078, 12.7011, 19.7314, 11.5099, 11.8455, 12.101, 11.6102, 11.5026, 
13.0305, 13.308, 13.2121, 11.8519, 12.8653, 12.0207, 12.5265, 12.093, 16.7637, 16.5426, 15.8329, 19.9517, 38.7882, 14.0331, -inf, 11.1048, 12.844, 13.4809, 13.3429, 12.8464, 
12.3202, 11.3769, 12.884, 11.4126, 12.6318, 13.7125, 13.7667, 14.6114, 12.7803, 11.5662, 14.5255, 12.4216, 11.2793, 19.9017, 21.8644, 11.3288, 12.9281, 11.8611, 12.8167, 12.8492, 
12.7521, 13.0851, 12.1046, 13.3479, 12.469, 12.2391, 12.5305, 13.2747, 14.8405, 17.315, 17.1298, 14.058, 12.605, 14.486, 157.82, 12.5761, 13.3027, 13.3839, 14.3365, 13.9335, 
12.2747, 12.3342, 11.7035, 11.6402, 12.2574, 14.3174, 13.1788, 12.7571, 28.6365, 20.4757, 23.8766, 19.9198, 192.407, 20.331, 21.8774, -inf, 13.68, 14.1517, 13.9461, 14.1599, 
13.7449, 13.0781, 13.5266, 14.2385, 12.4972, 11.6857, 12.7191, 11.5572, 16.2625, 19.54, 19.54, 24.4417, 10.0536, 16.1922, -inf, 65.7468, 12.9885, 12.4618, 13.9504, 14.3764, 
12.9, 14.6347, 13.2491, 12.6612, 13.248, 13.0149, 12.9267, 13.0069, 15.2785, 13.8987, 12.5906, 11.9297, 27.9717, 19.3349, -inf, -inf, 15.6477, 15.6678, 15.3947, 15.3221, 
12.6218, 11.7556, 12.0155, 12.1048, 12.0361, 12.551, 11.5965, 12.4742, 16.4516, 19.5912, 16.9657, 15.5702, 10.6652, 128.473, 10.8928, 12.6809, 13.5601, 14.6608, 13.8281, 13.0749, 
11.4559, 11.4926, 11.3526, 11.8703, 13.3673, 13.2624, 13.2766, 12.2995, 13.9906, 14.537, 15.1317, 17.7118, 9.45526, 34.4268, -inf, 30.3425, 14.1308, 12.3179, 12.6324, 11.7199, 
12.7376, 12.27, 14.1452, 12.1142, 12.041, 12.6289, 12.5612, 12.7188, 11.1786, 10.4251, 11.2903, 12.7661, 11.0419, 11.0882, 11.0292, 24.4419, 12.435, 11.9802, 11.7099, 11.7035, 
11.4265, 11.7611, 11.4238, 11.9599, 11.7538, 12.0523, 11.7065, 12.2277, 11.6463, 12.1578, 14.8027, 11.9698, 7.40879, 10.0798, 9.12813, 8.12118, 12.0939, 12.9386, 12.3501, 12.0269, 
11.7285, 11.3997, 11.9654, 11.5628, 11.5965, 11.9881, 12.3381, 11.7492, 11.2097, 12.5316, 11.7882, 10.898, -inf, 20.1675, -inf, 8.31342, 10.2598, 11.1953, 10.1818, 10.3226, 
12.6532, 12.2277, 12.305, 13.3476, 11.96, 12.2522, 11.8423, 11.8251, 11.5717, 11.5071, 11.6125, 11.9619, 13.4915, 12.8245, 12.8562, 8.36293, 10.3419, 10.9342, 10.9959, 10.1861, 
11.8116, 11.0014, 11.4823, 12.2526, 11.3141, 10.5364, 11.4873, 11.6048, 12.1771, 10.649, 11.856, 11.902, 11.4171, 8.59638, 13.6273, 9.3101, 9.70457, 10.9105, 9.89562, 10.2953, 
9.38674, 11.1203, 10.3981, 10.278, 11.2431, 10.4772, 10.8889, 10.1464, 12.1604, 10.6663, 10.8762, 14.2331, -inf, 19.5593, -inf, 8.12918, 9.6311, 9.70374, 10.1374, 9.53056, 
11.1041, 12.1848, 11.7356, 9.3482, 11.0781, 10.3405, 10.9588, 10.6085, 10.8853, 12.3892, 10.9007, 10.3051, 17.1962, 11.2161, 9.93271, 7.76548, 9.93354, 9.47315, 9.70169, 10.2418, 
11.7264, 10.571, 12.1119, 11.5895, 9.90445, 9.98764, 8.85564, 9.88916, 10.1321, 10.8326, 8.46091, 9.21162, 20.3351, 12.155, 14.4347, 11.3219, 8.71358, 8.95117, 9.09447, 8.50495, 
9.87409, 9.47889, 9.11578, 7.15778, 11.6481, 10.6503, 11.6293, 10.8713, 12.3126, 9.91909, 11.6691, 11.2789, 28.0396, 17.5442, 25.8155, 11.5987, 8.67077, 8.5322, 9.07435, 8.73027, 
